No,category,problem,group,article_no,article_link,title,authors,publish_date,image_url,Institution_name,Supplier_name,Item,Date_order,Date_payments,Unit_price,Quantity,UOM,order_num,pay_num
39495,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Gauteng - education,Ifa Training,PPE021 Sanitising of buildings,,2020-09-29,1.00,269652,Other UOM,,
39496,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Gauteng - education,Gramendo Projects,PPE021 Sanitising of buildings,,2020-09-29,1.00,2700000,Other UOM,,
39497,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Gauteng - education,Lisondalo,PPE021 Sanitising of buildings,,2020-09-29,1.00,3986200,Other UOM,,
39498,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Gauteng - education,Netvision Energy Savers,PPE021 Sanitising of buildings,,2020-09-29,1.00,4010071,Other UOM,,
39499,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Gauteng - education,Favoured Street Properties,PPE021 Sanitising of buildings,,2020-09-29,1.00,4547758,Other UOM,,
39500,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Gauteng - education,Vhuyo Consulting,PPE021 Sanitising of buildings,,2020-09-29,1.00,461500,Other UOM,,
39501,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Gauteng - education,Insimu Medical Group,PPE021 Sanitising of buildings,,2020-09-29,1.00,4653245,Other UOM,,
39502,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Gauteng - education,Chachulani Group Investment Hold,PPE021 Sanitising of buildings,,2020-09-29,1.00,4768090,Other UOM,,
39503,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Gauteng - education,I Call  The  Shots,PPE021 Sanitising of buildings,,2020-09-29,1.00,4900000,Other UOM,,
39504,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Gauteng - education,Imani Portfolio Holdings,PPE021 Sanitising of buildings,,2020-09-29,1.00,5095791,Other UOM,,
39505,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Gauteng - education,Psychin Consulting,PPE021 Sanitising of buildings,,2020-09-29,1.00,5130898,Other UOM,,
39506,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Gauteng - education,Lunako Solutions,PPE021 Sanitising of buildings,,2020-09-29,1.00,540000,Other UOM,,
39507,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Gauteng - education,Kpro Consulting Sa,PPE021 Sanitising of buildings,,2020-09-29,1.00,547990,Other UOM,,
39508,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Gauteng - education,Libayi Projects,PPE021 Sanitising of buildings,,2020-09-29,1.00,550000,Other UOM,,
39509,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Gauteng - education,Maita Solutions,PPE021 Sanitising of buildings,,2020-09-29,1.00,550000,Other UOM,,
39510,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Gauteng - education,Homeground Trading 1105,PPE021 Sanitising of buildings,,2020-09-29,1.00,6448281,Other UOM,,
39511,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Gauteng - education,Moshopane Business Enterprises,PPE021 Sanitising of buildings,,2020-09-29,1.00,669000,Other UOM,,
39512,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Gauteng - education,Thulaganyo Holdings,PPE021 Sanitising of buildings,,2020-09-29,1.00,735000,Other UOM,,
39513,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Gauteng - education,Best Hygiene And Projects,PPE021 Sanitising of buildings,,2020-09-29,1.00,800000,Other UOM,,
39514,Orders flagged by media,Fogging,Gauteng Education sanitising schools,article1,https://www.dailymaverick.co.za/article/2021-01-26-gauteng-department-of-education-spent-r431-million-in-three-months-on-unnecessary-deep-cleaning-and-decontamination-of-schools/,Gauteng Department of Education spent R431-million in t...,Mark Heywood,2021-01-26,https://www.dailymaverick.co.za/wp-content/uploads/MC-mark-Lesufi-gautengsplurge_1.jpg?w=1280,Gauteng - education,Ditodele Trading Projects,PPE021 Sanitising of buildings,,2020-09-29,1.00,819181,Other UOM,,
2443,Potential orders to investigate,Fogging,Other orders related to fogging,,,,,,,Umzimvubu local municipality,Teo Group,FUMIGATION AND DISINFECTION OF MUNICIPAL OFFICES AS PER SPECIFICATION,2020-05-29,2020-06-18,0.00,1,Each,,
2444,Potential orders to investigate,Fogging,Other orders related to fogging,,,,,,,Emakhazeni local municipality,Gla Mining,Fumigation of municipal office,2020-05-29,,1840026.48,1,0,,
2445,Potential orders to investigate,Fogging,Other orders related to fogging,,,,,,,Emakhazeni local municipality,Gla Mining,Fumigation of municipal office,2020-05-29,2020-05-29,460006.62,1,0,,
7356,Potential orders to investigate,Fogging,Other orders related to fogging,,,,,,,Gauteng - health,Ethan Medical,FOGGING MACHINE3,2020-06-24,,14317.00,30,Each,,
9672,Potential orders to investigate,Fogging,Other orders related to fogging,,,,,,,Emakhazeni local municipality,Gla Mining,Fumigation of municipal office,2020-05-22,2020-05-26,460006.62,1,0,,
10994,Potential orders to investigate,Fogging,Other orders related to fogging,,,,,,,Gauteng - gambling board,Meridian Hygiene Services,Fogging and disinfecting of Alexandra township,2020-05-21,2020-01-06,97750.00,46000,Other UOM,,
11702,Potential orders to investigate,Fogging,Other orders related to fogging,,,,,,,Statistics south africa,Jessiema Hlokwe Trading,Fogging various office in Free State for 8 months,2020-08-20,,0.00,0,0,,
31924,Potential orders to investigate,Fogging,Other orders related to fogging,,,,,,,Justice & constitutional development,Traffic Cleaning Services,FUMIGATION SERVICES,,2020-08-03,0.00,1,0,,
32032,Potential orders to investigate,Fogging,Other orders related to fogging,,,,,,,Justice & constitutional development,Ubuhlebothingo Primary Co-Operative Limited,FUMIGATION SERVICES,,2020-09-11,0.00,1,0,,
41348,Potential orders to investigate,Fogging,Other orders related to fogging,,,,,,,Road traffic management corporation,Sfs Gauteng,Disinfectant for Fogging,2021-02-02,2021-02-18,1552.50,160,25 Litre,,
43864,Potential orders to investigate,Fogging,Other orders related to fogging,,,,,,,Department of correctional services,Zululand Pest Control,FUMIGATION,2021-02-05,2021-07-30,0.00,1,Each,,
196,Potential orders to investigate,Fogging,Other orders related to fogging,,,,,,,Sa police service,Nondaba Waste Removals And Cleaning,PPE000 Other PPEs_UVL fogger portable disinfectant Aerosol Atomizer,2020-07-31,2020-08-18,16900.00,20,Each,,
1132,Potential orders to investigate,Fogging,Other orders related to fogging,,,,,,,Electoral commission (iec),Difaka (Pty) Ltd,PPE000 Other PPEs_Disinfectant Fogging Spray 400ml,2021-06-30,,90.85,79350,Each,,
3296,Potential orders to investigate,Fogging,Other orders related to fogging,,,,,,,Railway safety regulator,Mothwanape Hygiene And,PPE000 Other PPEs_Air fogging disinfection of fleet,2020-07-28,2020-08-13,250.00,16,Each,,
3358,Potential orders to investigate,Fogging,Other orders related to fogging,,,,,,,Railway safety regulator,Mothwanape Hygiene And,PPE021 Sanitising of buildings_Air fogging disinfection of building,2020-07-28,2020-08-13,3.00,A combined total of approximately 3400 square meters of office space (HO. and GP offices),Each,,
3359,Potential orders to investigate,Fogging,Other orders related to fogging,,,,,,,Railway safety regulator,0,PPE021 Sanitising of buildings_Air fogging disinfection of building,2020-07-28,2020-08-13,4.00,A combined total of approximately 800 square meters of office space (KZN and WC offices),Each,,
3590,Potential orders to investigate,Fogging,Other orders related to fogging,,,,,,,Thaba chweu local municipality,Jmlnt Holding (Pty) Ltd,PPE000 Other PPEs_Fumigation pressure spray,2020-05-28,2020-12-06,1800.00,60,Each,,
4130,Potential orders to investigate,Fogging,Other orders related to fogging,,,,,,,Kwazulu natal - ezemvelo kwazulu-natal wildlife,Nyathi Yasolwande Enterprise Pty (Ltd),Other_Aerosol Fogger,2021-08-27,2021-08-27,55.00,8000,400ml,,
6170,Potential orders to investigate,Fogging,Other orders related to fogging,,,,,,,Kwazulu natal - sharks board,Manquthu Holdings,Other_Fumigation,2020-08-25,2020-03-09,127950.00,1,Each,,
6489,Potential orders to investigate,Fogging,Other orders related to fogging,,,,,,,Gauteng - human settlements,Nzimase Group,PPE021 Sanitising of buildings_Sanitizing building in a form of fogging,2021-05-25,2021-07-20,0.00,0,per m2,,
6570,Potential orders to investigate,Fogging,Other orders related to fogging,,,,,,,North west - mmabana sports and culture,Kgolagano Contra Logistics,"Other_Deep Cleaning, Sanitising and Fumigation of Mmabana Lehurutshe Building",2020-05-25,2020-06-25,0.00,whole building,Other UOM,,
9036,Potential orders to investigate,Fogging,Other orders related to fogging,,,,,,,North west - agriculture and rural development,Rkm Suppliers & General Maintenance Cc,PPE000 Other PPEs_500ml disinfectant fogging spray,2021-02-23,2021-03-25,135.00,1000,500ml,,
